"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045229","GO:0045229","external encapsulating structure organization","52/848","396/18862",3.6548278700707e-12,2.39391225489631e-08,1.97322233111501e-08,"MMP12/FBN2/GREM1/HRNR/ADAM12/LAMA1/ADAMTS16/KLK2/COL3A1/MMP9/KLK4/ADAMTS2/SERPINE1/COL5A2/COL1A1/COL1A2/CTSL/PDPN/CTSK/TLL2/ADAMTS4/MMP25/ADAMTSL5/MMP14/TGM1/MMP2/LAMA5/VWA1/COL9A2/QSOX1/TTR/NTN4/ITGA3/DDR1/NTNG1/ICAM5/TNXB/HAS3/COL4A4/DPP4/NDNF/HPN/MMP15/COL28A1/COL4A3/MMP28/WNT3A/MMP7/CDH1/CMA1/ADAMTS8/CTSG",52
"GO:0030198","GO:0030198","extracellular matrix organization","50/848","393/18862",3.07979348103764e-11,7.37812102564717e-08,6.08154001455112e-08,"MMP12/FBN2/GREM1/ADAM12/LAMA1/ADAMTS16/KLK2/COL3A1/MMP9/KLK4/ADAMTS2/SERPINE1/COL5A2/COL1A1/COL1A2/CTSL/PDPN/CTSK/TLL2/ADAMTS4/MMP25/ADAMTSL5/MMP14/MMP2/LAMA5/VWA1/COL9A2/QSOX1/TTR/NTN4/ITGA3/DDR1/NTNG1/ICAM5/TNXB/HAS3/COL4A4/DPP4/NDNF/HPN/MMP15/COL28A1/COL4A3/MMP28/WNT3A/MMP7/CDH1/CMA1/ADAMTS8/CTSG",50
"GO:0043062","GO:0043062","extracellular structure organization","50/848","394/18862",3.3792920728155e-11,7.37812102564717e-08,6.08154001455112e-08,"MMP12/FBN2/GREM1/ADAM12/LAMA1/ADAMTS16/KLK2/COL3A1/MMP9/KLK4/ADAMTS2/SERPINE1/COL5A2/COL1A1/COL1A2/CTSL/PDPN/CTSK/TLL2/ADAMTS4/MMP25/ADAMTSL5/MMP14/MMP2/LAMA5/VWA1/COL9A2/QSOX1/TTR/NTN4/ITGA3/DDR1/NTNG1/ICAM5/TNXB/HAS3/COL4A4/DPP4/NDNF/HPN/MMP15/COL28A1/COL4A3/MMP28/WNT3A/MMP7/CDH1/CMA1/ADAMTS8/CTSG",50
"GO:0097529","GO:0097529","myeloid leukocyte migration","34/848","218/18862",2.2043044148657e-10,3.60954847934259e-07,2.97523087995953e-07,"CCL3L3/CCL7/CCL11/GREM1/CD177/XG/CCL8/CXCL9/CCL4/CCL3/PLA2G7/XCL2/CXCL11/CCL4L1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/ROR2/TREM2/MMP14/CD300A/C5AR1/CX3CR1/CXADR/THBS4/MTUS1/KIT/DPP4/MMP28/MST1L/SFTPD/CXCL17",34
"GO:0002683","GO:0002683","negative regulation of immune system process","48/848","403/18862",7.45216516143924e-10,9.7623363614854e-07,8.04676949747828e-07,"KIR2DL4/ACOD1/MMP12/KLRC4-KLRK1/IL31RA/GREM1/KLRC1/GAL/LILRB4/PLA2G2F/LAG3/PDCD1/GPNMB/CCL3/GBP1/COL3A1/CST7/NLRP6/CD274/PDCD1LG2/KLRK1/IDO1/TBX21/SLAMF8/SLA2/MAFB/LILRB2/UBASH3A/HAVCR2/CD80/GLI3/CD300A/C1QC/LILRB1/CD55/ERBB2/CNR1/ADGRF5/DPP4/HMGB3/AMBP/MMP28/BMP5/SHH/ENPP3/SFTPD/C4BPA/FOXJ1",48
"GO:0030595","GO:0030595","leukocyte chemotaxis","32/848","226/18862",8.63927044830901e-09,9.2008921330101e-06,7.58398967460166e-06,"CCL3L3/CCL7/KLRC4-KLRK1/CCL11/GREM1/CCL8/CXCL9/CCL4/CCL3/PLA2G7/XCL2/CXCL11/KLRK1/CCL4L1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR5/TRPM2/CCR1/C5AR1/CXCR3/CXADR/THBS4/MTUS1/KIT/DPP4/MMP28/MST1L/SFTPD/CXCL17",32
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","19/848","88/18862",9.83301449329324e-09,9.2008921330101e-06,7.58398967460166e-06,"GREM1/CCL8/GAL/LILRB4/PLA2G2F/GPNMB/CD274/PDCD1LG2/IDO1/LILRB2/HAVCR2/CD80/CD300A/LILRB1/ERBB2/SHH/ENPP3/SFTPD/FOXJ1",19
"GO:0002685","GO:0002685","regulation of leukocyte migration","30/848","205/18862",1.16307479707638e-08,9.52267490106284e-06,7.84922451869045e-06,"CCL7/KLRC4-KLRK1/GREM1/XG/CCL8/CCL4/BDKRB1/CCL3/PLA2G7/XCL2/KLRK1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/TREM2/TNFRSF18/MMP14/CD300A/C5AR1/CXCR3/CX3CR1/THBS4/MTUS1/DPP4/MMP28/BMP5/MST1L/CXCL17",30
"GO:0060326","GO:0060326","cell chemotaxis","38/848","306/18862",1.44306222656507e-08,9.72454169487572e-06,8.0156166095649e-06,"CCL3L3/CCL7/KLRC4-KLRK1/CCL11/GREM1/CCL8/CXCL9/CCL4/CXCR6/CCL3/PLA2G7/EGR3/XCL2/CXCL11/KLRK1/CCL4L1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR5/TRPM2/CCR1/FGF16/HBEGF/C5AR1/CXCR3/CX3CR1/FGF18/CXADR/THBS4/MTUS1/KIT/DPP4/MMP28/MST1L/SFTPD/CXCL17",38
"GO:0022617","GO:0022617","extracellular matrix disassembly","18/848","81/18862",1.4846628541795e-08,9.72454169487572e-06,8.0156166095649e-06,"MMP12/KLK2/MMP9/KLK4/CTSL/PDPN/CTSK/TLL2/ADAMTS4/MMP14/MMP2/DDR1/DPP4/HPN/MMP15/MMP7/CMA1/CTSG",18
"GO:0071674","GO:0071674","mononuclear cell migration","28/848","190/18862",3.05306578638621e-08,1.78192402657288e-05,1.46878076854838e-05,"CCL3L3/CCL7/KLRC4-KLRK1/CCL11/GREM1/XG/CCL8/GPR15/CCL4/CCL3/PLA2G7/XCL2/CXCL11/KLRK1/CCL4L1/SERPINE1/CCL5/TBX21/CXCL10/SLAMF8/CCR5/TRPM2/CCR1/C5AR1/CXCR3/EPS8/BMP5/CXCL17",28
"GO:0001906","GO:0001906","cell killing","27/848","179/18862",3.2645936364694e-08,1.78192402657288e-05,1.46878076854838e-05,"KLRC2/KIR2DL4/GZMB/KLRC4-KLRK1/GNLY/IFNG/KLRC1/HAMP/LAG3/NCR1/H2BC11/SLAMF7/PRF1/IL18RAP/LEP/KLRK1/CR1L/GZMM/HAVCR2/LILRB1/CD55/C3/CD1C/CTSH/CD1E/CTSG/AZGP1",27
"GO:0002548","GO:0002548","monocyte chemotaxis","16/848","68/18862",3.95791261699426e-08,1.99417904933173e-05,1.64373553138167e-05,"CCL3L3/CCL7/CCL11/GREM1/CCL8/CCL4/CCL3/PLA2G7/XCL2/CCL4L1/SERPINE1/CCL5/CXCL10/SLAMF8/CCR1/CXCL17",16
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","18/848","88/18862",5.84455830041536e-08,2.73441834769433e-05,2.2538901896865e-05,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CXCR6/CCL3/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/CCR5/CCR1/TREM2/CXCR3/CX3CR1",18
"GO:0002237","GO:0002237","response to molecule of bacterial origin","39/848","346/18862",1.30824457279838e-07,5.3172699953423e-05,4.38284898450955e-05,"ACOD1/GJB2/HAMP/CXCL9/BDKRB1/FASLG/CCL3/GPR31/CD274/CXCL11/PDCD1LG2/IDO1/SERPINE1/CCL5/CXCL10/LILRB2/CCR5/GFI1/GCH1/CPS1/CD14/HAVCR2/CD80/TREM2/C5AR1/IL1B/LILRB1/CX3CR1/CD55/LDOC1/TFPI/MGST1/CNR1/HPGD/PALM3/PENK/GGT2/CTSG/DMBT1",39
"GO:0042110","GO:0042110","T cell activation","48/848","474/18862",1.33891517674747e-07,5.3172699953423e-05,4.38284898450955e-05,"KLRC4-KLRK1/IFNG/KLRC1/IL27/LILRB4/PLA2G2F/LAG3/PDCD1/GPNMB/CD8A/CD8B/EGR3/EOMES/CD7/CD274/ZNF683/LEP/PDCD1LG2/KLRK1/IDO1/CCL5/SIRPG/TBX21/CYP26B1/SLA2/MAFB/CTSL/LILRB2/TNFSF9/HAVCR2/NKX2-3/CD80/GLI3/TNFRSF18/CD300A/IL1B/LILRB1/CD55/CXADR/CD1C/KIT/ERBB2/ZBTB16/DPP4/RORC/SHH/SFTPD/FOXJ1",48
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","20/848","113/18862",1.38005480795144e-07,5.3172699953423e-05,4.38284898450955e-05,"KLRC2/KIR2DL4/GZMB/KLRC4-KLRK1/KLRC1/LAG3/NCR1/SLAMF7/PRF1/IL18RAP/LEP/KLRK1/GZMM/HAVCR2/LILRB1/CD1C/CTSH/CD1E/CTSG/AZGP1",20
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","45/848","437/18862",2.05432608968917e-07,7.47546438192447e-05,6.16177690878113e-05,"KLRC4-KLRK1/IFNG/TENM3/LILRB4/PLA2G2F/LAG3/PDCD1/IL1RN/GPNMB/EGR3/CD274/PLAUR/LEP/PDCD1LG2/KLRK1/IDO1/CCL5/SIRPG/TBX21/LILRB2/PDPN/TNFSF9/HAVCR2/CD80/GLI3/CD300A/IL1B/LILRB1/CD55/PTPRU/ERBB2/ZBTB16/EPB41L5/DPP4/WNT3A/CDH1/SHH/PKHD1/NEXMIF/SFTPD/FOXA2/EPHA7/EPCAM/FOXJ1/CEACAM6",45
