"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","40/410","295/8142",6.97249704497219e-09,2.0568866282668e-06,1.87156499628201e-06,"CCL3L3/CCL7/IFNG/IL31RA/CCL11/CCL8/IL27/IL19/CXCL9/CCL4/IL1RN/FASLG/OSM/CXCR6/CCL3/CCL4L2/XCL2/CXCL11/IL18RAP/LEP/CCL4L1/CCL5/CXCL10/IL2RB/CCR5/ACVR1C/TNFSF9/CCR1/TNFRSF18/IL11/CXCR3/IL26/IL1B/IL12RB2/CX3CR1/CRLF2/GDF7/BMP3/BMP5/CXCL17",40
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","20/410","100/8142",8.90957225254999e-08,1.31416190725112e-05,1.19575838126329e-05,"CCL3L3/CCL7/CCL11/CCL8/IL19/CXCL9/CCL4/CCL3/CCL4L2/XCL2/CXCL11/IL18RAP/CCL4L1/CCL5/CXCL10/IL2RB/CCR5/CCR1/CXCR3/CX3CR1",20
"hsa04610","hsa04610","Complement and coagulation cascades","16/410","85/8142",4.07577666954545e-06,0.000400784705838636,0.000364674754643541,"BDKRB1/PLAUR/SERPINE1/CR1L/C1QA/C1QB/C5AR1/C1QC/CD55/C3/TFPI/C8B/CLU/C4BPA/C6/SERPIND1",16
"hsa04514","hsa04514","Cell adhesion molecules","19/410","149/8142",0.000163011900746415,0.0120221276800481,0.0109389564974568,"PDCD1/CD8A/CD8B/NLGN4X/CD274/PDCD1LG2/CLDN14/CD80/LOC102723996/CD8B2/OCLN/NTNG1/PTPRF/CDH1/CLDN4/CDH15/CLDN3/CLDN6/CLDN2",19
"hsa04640","hsa04640","Hematopoietic cell lineage","14/410","99/8142",0.000405570343554076,0.0221163063617321,0.0201236685896224,"CD8A/CD8B/CD7/FCGR1A/CR1L/CD14/CD8B2/IL11/IL1B/CD55/ITGA3/CD1C/KIT/CD1E",14
"hsa04612","hsa04612","Antigen processing and presentation","12/410","78/8142",0.000477793397590593,0.0221163063617321,0.0201236685896224,"KLRC2/KIR2DL4/IFNG/KIR2DL3/KLRC1/KLRC4/CD8A/CD8B/KLRC3/CTSL/CD8B2/CTSB",12
"hsa05146","hsa05146","Amoebiasis","14/410","102/8142",0.000552989402665215,0.0221163063617321,0.0201236685896224,"IFNG/LAMA1/COL3A1/COL1A1/COL1A2/CD14/IL1B/LAMA5/CD1C/COL4A4/CD1E/C8B/COL4A3/CTSG",14
"hsa04974","hsa04974","Protein digestion and absorption","14/410","103/8142",0.000611294636712496,0.0221163063617321,0.0201236685896224,"COL3A1/ATP1A3/COL5A2/COL1A1/COL1A2/PGA5/COL9A2/ATP1B1/COL4A4/DPP4/ACE2/COL28A1/COL4A3/KCNK5",14
"hsa04620","hsa04620","Toll-like receptor signaling pathway","14/410","104/8142",0.000674734770357928,0.0221163063617321,0.0201236685896224,"CCL3L3/CXCL9/CCL4/CCL3/CCL4L2/CXCL11/CCL4L1/CCL5/CXCL10/CTSK/CD14/CD80/STAT1/IL1B",14
"hsa05332","hsa05332","Graft-versus-host disease","8/410","42/8142",0.00100571617720248,0.0296686272274733,0.0269955394933299,"GZMB/IFNG/KIR2DL3/KLRC1/FASLG/PRF1/CD80/IL1B",8
"hsa04512","hsa04512","ECM-receptor interaction","12/410","88/8142",0.00143439839065298,0.0383663988754304,0.0349096582095798,"LAMA1/THBS2/COL1A1/COL1A2/LAMA5/COL9A2/THBS4/ITGA3/TNXB/COL4A4/COL4A3/FREM2",12
"hsa04062","hsa04062","Chemokine signaling pathway","20/410","192/8142",0.00156066707289886,0.0383663988754304,0.0349096582095798,"CCL3L3/CCL7/CCL11/CCL8/CXCL9/CCL4/CXCR6/CCL3/CCL4L2/XCL2/CXCL11/CCL4L1/CCL5/CXCL10/CCR5/CCR1/STAT1/CXCR3/CX3CR1/GRK1",20
"hsa04973","hsa04973","Carbohydrate digestion and absorption","8/410","47/8142",0.00215015740399041,0.0454814280179695,0.0413836365551552,"SLC2A5/ATP1A3/ATP1B1/CACNA1D/HKDC1/AMY1A/SLC5A1/AMY1C",8
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","7/410","37/8142",0.00215844065170025,0.0454814280179695,0.0413836365551552,"ATP1A3/SGK1/FXYD4/ATP1B1/NR3C2/SCNN1B/SCNN1A",7
