DP,SP,DN
77.7274,20.58601,1.68659
82.91648,15.58628,1.497246
38.7516,55.22682,6.02158
85.49089,12.28663,2.222477
58.03115,37.68116,4.28769
78.7206,18.94189,2.33751
52.53654,41.59247,5.870989
59.41265,34.81928,5.768072
72.37795,25.67292,1.949137
73.00938,19.7613,7.229327
65.78415,30.20236,4.013491
40.45197,54.98554,4.562493
44.13724,55.04152,0.821243
69.14568,24.42138,6.432948
52.04394,38.22303,9.733037
49.59279,38.27807,12.12914
28.17797,52.8178,19.00424
56.61425,36.44773,6.93802
49.17905,39.74087,11.08008
63.75463,27.815,8.430365
49.37941,39.24312,11.37746
32.64194,44.45841,22.89964
57.83071,35.59599,6.573298
