GENE	CD69-ITGAE-	CD69+ITGAE-	CD38-ENTPD1-	CD38+ENTPD1-	CD38+ENTPD1+
AL627309.1	0	0	0	0	0
AL669831.5	0.02842824	0.043979091	0.009092283	0.021643042	0.036261863
FAM87B	0	0	0	0	0
LINC00115	0.227649972	0.07895169	0.059378088	0.085396864	0.061407772
FAM41C	0	0.006618176	0.011491061	0	0.01094772
AL645608.3	0	0	0	0	0
AL645608.1	0	0	0	0	0
SAMD11	0	0	0	0.003658674	0.002484111
NOC2L	0.564187845	0.540372425	0.488392324	0.514210769	0.604152485
KLHL17	0.047453876	0.057031848	0.066908954	0.044305529	0.100620131
PLEKHN1	0.041994528	0.032536186	0.029088208	0.047477579	0.086435834
PERM1	0	0.001804652	0	0	0.002452602
AL645608.8	0	0.004245836	0	0	0
HES4	0.027539807	0.146419948	0.414128715	0.275830889	0.239498057
ISG15	1.898926295	2.346993467	2.116730883	2.309986513	2.394145617
AL645608.2	0	0.003192048	0	0	0.004577097
AGRN	0.019751282	0.02321301	0.032743759	0.029238328	0.075309342
RNF223	0	0.000682255	0	0	0
C1orf159	0.076851729	0.083465716	0.12654019	0.10509847	0.093168427
AL390719.2	0	0	0	0	0
TTLL10	0	0.001382775	0.033485591	0	0
TNFRSF18	0.081118167	0.208151968	0.550440057	0.552121123	1.796571849
TNFRSF4	0.074441674	0.283730284	0.536867409	0.24624634	0.603527967
SDF4	0.97901315	0.97390933	1.187521099	1.171891209	1.393060354
B3GALT6	0.061736981	0.132289188	0.180660841	0.204175328	0.290818371
C1QTNF12	0	0.003458869	0	0	0.001450403
UBE2J2	0.529888849	0.486817253	0.499080823	0.619956874	0.648034014
SCNN1D	0.0104677	0.009316733	0.007823109	0.010360943	0.003341041
ACAP3	0.143694968	0.119299087	0.188998527	0.145088516	0.154940824
PUSL1	0.166035972	0.17273587	0.202385246	0.131689179	0.192572504
INTS11	0.831120271	0.725440945	0.773512609	0.791111892	0.792522373
CPTP	0.155528887	0.137249322	0.191767388	0.164451607	0.220051653
TAS1R3	0	0.005200117	0.004898467	0	0
DVL1	0.035584693	0.05707796	0.064834108	0.034392137	0.059305713
MXRA8	0	0.006220061	0.011043045	0.016433818	0.017461101
AURKAIP1	1.406639099	1.229017639	1.280261033	1.306588305	1.403596996
CCNL2	0.743757918	0.679669112	0.732333935	0.711288699	0.620656094
MRPL20	1.074174953	1.108007948	1.155051206	1.106329791	1.227724338
AL391244.3	0.014744933	0.001304837	0.007346798	0	0
ANKRD65	0	0.01232678	0	0	0.007215132
AL391244.2	0	0	0	0	0
LINC01770	0	0.004158598	0	0.009297089	0
VWA1	0	0.002964164	0	0.003501492	0.012417791
ATAD3C	0.016469251	0.018441829	0.015417834	0.015019255	0.01178463
ATAD3B	0.141166139	0.115179877	0.089675516	0.128270244	0.147660553
ATAD3A	0.112669386	0.073894061	0.107621924	0.102384391	0.134722418
TMEM240	0	0	0	0	0
SSU72	1.263903672	1.277794023	1.274958569	1.296058366	1.240227889
AL645728.1	0.116063248	0.062219319	0.05831149	0.051980429	0.040404375
FNDC10	0	0.01639624	0.011480543	0.008610221	0.010051745
AL691432.2	0.01154176	0.049429136	0.015879355	0.089678275	0.053448545
MIB2	0.577576831	0.481930824	0.398150191	0.432150139	0.380474258
MMP23B	0.107961992	0.07312961	0.089858397	0.051233266	0.011478202
CDK11B	0.485125197	0.394165887	0.383605337	0.442511192	0.393493918
FO704657.1	0.011782612	0.004670294	0	0	0.000864306
SLC35E2B	0.264547107	0.190820974	0.32131251	0.207640119	0.186891879
CDK11A	0.612135306	0.430990446	0.365663543	0.451942649	0.33167858
SLC35E2A	0.129337378	0.087700236	0.070097076	0.14567572	0.100844657
NADK	0.220763422	0.188154544	0.174149434	0.153934034	0.269145784
GNB1	0.809026739	0.753673699	0.777819525	0.780353873	0.976359956
AL109917.1	0.010509725	0.002416468	0.005937636	0	0.001514646
CALML6	0	0	0	0	0
TMEM52	0	0.002518205	0.014164075	0.004269696	0.004091214
CFAP74	0	0.001469608	0	0.007537152	0
GABRD	0	0	0	0	0.002094198
PRKCZ	0.191781049	0.195233459	0.272138319	0.21907099	0.158702983
PRKCZ-AS1	0	0.005742375	0	0.00847671	0
FAAP20	1.09181293	0.955892103	0.910236571	1.040035389	1.13557899
SKI	0.296664267	0.404687891	0.576533931	0.485005392	0.408687757
MORN1	0	0.018221813	0.005062674	0.042022329	0.011431516
RER1	1.097559642	0.949923621	0.977281369	1.072864929	1.169244763
PEX10	0.119649896	0.065939624	0.092767162	0.115123493	0.117455496
PLCH2	0.066079524	0.102333814	0.071156495	0.073693951	0.084920852
PANK4	0.227355433	0.176160578	0.142085784	0.243432965	0.250244662
AL139246.5	0.337284242	0.345392886	0.309516139	0.30917732	0.218519835
TNFRSF14-AS1	0.129054975	0.118132614	0.079857145	0.080238641	0.10824361
TNFRSF14	1.678942577	1.415312169	1.192744212	1.466258719	1.116671908
AL139246.3	0.011644439	0.008192905	0.014022162	0.005029484	0.004509203
FAM213B	0.107610387	0.090480204	0.114238907	0.141648246	0.110985708
MMEL1	0	0.005392858	0	0.008141553	0.007699107
TTC34	0	0	0	0	0.002118992
LINC00982	0	0	0	0	0
PRDM16	0	0.001089796	0	0	0
ARHGEF16	0	0.000593308	0	0.004793884	0.001813011
MEGF6	0.087744025	0.052304489	0.050940302	0.021006468	0.018587811
TPRG1L	0.162964047	0.15390439	0.162539173	0.170577112	0.166293447
WRAP73	0.437302225	0.344391048	0.391979788	0.421597582	0.455806105
TP73	0.011518676	0.007950533	0.010691114	0.015989966	0.088001156
SMIM1	0.013979035	0.031796894	0.058347331	0.042808701	0.033193121
LRRC47	0.370139956	0.384333018	0.435724106	0.40359335	0.37627223
CEP104	0.232383889	0.213257192	0.246897294	0.287894498	0.245227897
DFFB	0.117883774	0.06004146	0.076897205	0.061451875	0.070977239
C1orf174	0.336563306	0.323184497	0.31172445	0.347315915	0.337907135
LINC01134	0	0.000686659	0	0.002029663	0.001345758
AJAP1	0	0	0	0	0
NPHP4	0.029970449	0.025381448	0.027666776	0.011493717	0.033873169
KCNAB2	0.881873146	0.734321542	0.81007687	0.863798299	0.824747522
