Gene Symbol	D15-TA Read Count	D27-TA Read Count	D-37A Read Count	D-13A Read Count	D24-TA Read Count	D19-TA Read Count	D17-TA Read Count	D20-TA Read Count	D26-TA Read Count	D-36A Read Count	D-38A Read Count	D28T_A Read Count	D-29A Read Count	D25-TA Read Count	D18-TA Read Count	D-50A Read Count	D-T14_TA Read Count	D-21A Read Count	D10-TA Read Count	D-47A Read Count	D-40A Read Count	D-48A Read Count
'A1BG'	146.82	184.57	180.49	120.47	108.97	119.27	110.8	221.91	175.01	150	114.84	101.96	137.34	139.62	191.46	153.63	105.31	109.03	230.36	147.94	115.48	141.08
'NAT2'	5	11	7	1	4	2	9	4	5	7	3	0	7	1	1	1	3	7	1	0	5	4
'ADA'	188	190	288	120	125	173	123	94	105	184	78	151	154	186	354	353	229	195	394	329	115	147
'CDH2'	40	69	33	34	2601	75	20	51	40	60	9	13	69	44	115	53	47	40	200	55	151	62
'AKT3'	369.78	894.58	154.86	590	368.71	186.85	141.39	464.69	206.09	620.53	162.38	177.28	458.24	432.35	432.75	506.18	295.34	454.97	106.68	515.54	1723.97	278.2
'GAGE12F'																						
'MED6'	306.79	384.02	340.42	333.85	449.98	290.64	452.78	387.01	343.77	329.62	247.17	468.17	288.23	300.91	254.26	293.33	410.22	242.47	255.71	246.44	315.67	403.33
'NR2E3'	0	2	2	5	4	2	4	2	4	4	13	2	4	3	1	1	2	1	5	1	4	5
'NAALAD2'	39	131	28	83	42	19	28	61	38	105	57	41	44	49	17	29	54	27	18	44	21	46
'DUXB'	1	2	0	1	1	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	1	0
'DDTL'	137.71	154.18	139.92	168.02	227.7	179.54	234.92	96.83	232.01	234.97	287.22	213.72	117.49	141.68	100.04	176.33	194.83	85.37	484.26	161.01	95.19	203.34
'NAALADL1'	65	125	67	74	45	139	44	97	92	95	84	68	90	94	95	128	45	100	66	99	99	96
'SIGLEC14'	315.98	194.43	58.97	99.31	322.75	66.08	68.46	60.83	57.38	71.41	100.22	65.95	52.5	232.73	55.39	734.23	58.89	141.14	254.18	384.03	54.38	159.97
'ACOT8'	202.77	227.19	310	213.51	276.38	174.66	263.26	263.07	231.53	190.08	278.61	271.76	155.64	178.96	211.67	203.11	146.73	148.16	321.37	204.91	237.57	221.19
'ABI1'	1387.86	935.7	1285.37	1001.18	1018.5	999.37	961.34	678.83	1060.29	883.45	981.05	906.85	1192.3	1110.47	1119.64	2250.51	962.51	1008.91	650.76	1385.76	1496.19	1094.65
'GNPDA1'	991	882	1015	642	688	995	512	731	905	501	743	911	745	1000	1228	1336	895	605	623	815	753	825
'KCNE3'	592.97	496.43	343.48	887.13	418.25	378.4	213.81	247.36	208.38	288.68	325.3	531.22	318.88	326.71	714.46	745.53	336.75	292.3	513.27	503.64	243.84	306.25
'ZBTB33'	625	582	605	511	549	483	371	454	638	804	983	513	455	523	521	764	574	382	613	611	537	714
'CDH3'	715.4	595.85	475.58	260.27	836.13	240.67	2832.43	852.21	2907.94	591.42	134.57	1051.43	207.35	619.4	204.13	97.51	2135.23	605.75	1196.06	31.83	1180.75	862.2
'TANK'	895	893	762	970	819	994	506	638	939	634	623	1200	628	1013	664	1098	1085	526	443	837	1112	733
'POM121C'	1284.4	1259.71	1285.77	990.12	1758.69	1363	1107.95	1461.14	1249.27	1114.83	1808.98	1397.3	994.91	1358.19	871.68	1344.86	1708.34	1067.35	822.49	1385.44	1624.1	2714.95
'ZSCAN30'	170.11	265.16	495.19	284.06	387.33	171.61	295.87	227.72	166	242.68	232.75	172.65	227.68	192.95	138.81	180.12	209.59	153.44	178.6	174.37	225.7	222.37
'SRA1'	461	439	569	400	340	826	409	639	818	415	464	465	521	474	424	352	512	556	544	380	492	549
'TMEM170B'	276.82	238.55	170.23	261.85	252.89	117.15	151.06	168.24	127.3	219.22	441.1	322.78	151.24	216.36	189.19	360.12	158.41	138.52	109.08	209.93	113.79	191.04
'ZGLP1'	62	114	206	47	83	22	54	59.32	73	77	104.17	29	98.21	38.98	34	48.06	38	28	62	35.05	47	113
'GJE1'																						
'MINAR2'	34.25	19.35	36.61	22.59	16.83	27.54	35.15	41.47	20.62	18.09	18.58	23.81	14.65	26.56	36.2	11.6	25.33	15.6	61.62	16.13	10.94	12.39
'C8orf88'	10.34	52.85	10	59.58	25.84	7.69	24.64	17.13	23.06	40.91	21.06	7.89	34.71	38.92	22.03	8.77	20.65	26.03	7.92	21.47	33.78	13.29
'FAM229A'	21	38	46	27	25	11	25	65	28	69	71	43	65	17	17	31	15	8	46	38	30	62
'LOC100128108'	82.43	94.96	92.46	56.29	68.27	51.76	48.93	62.03	96.43	91.28	59.09	51.14	60.67	57.63	64.79	81.81	61.14	51.81	71.58	88.6	48.86	53.94
'HGC6.3'	2	5	4	1	3	0	0	1	1	1	1	1	14	0	1	5	1	2	1	2	5	3
'TRAPPC3L'	17.69	23.76	27.96	38.41	35.89	26.91	27.09	41.87	31.88	31.58	17.35	40.8	31.74	31.39	17.28	33	49.36	14.57	31.31	19.59	29.13	30.59
'CTAGE4'	113.45	27.23	150.15	234.13	91.03	438.19	630.23	255.57	370.08	200.96	114.62	149.55	100.92	167.28	21.79	38.1	328.01	54.21	389.89	9.73	160.75	255.72
'C19orf71'	31	78	122	43	52	27	18	52	19	78	98	44	78	29	33	65	33	37	21	59	50	64
'OST4'	1828.34	1490.05	1887.73	1551.91	1354.76	2094.72	2198.11	1659.53	1767.38	1681.21	1845.26	2015.67	2365.33	1583.64	1777.07	1492.67	1642.31	1787.52	1903.01	1682.08	2743.46	1563.47
'LMLN2'	0	3.13	0	1.11	2.1	1.03	1.03	5.35	0.3	3.21	0	1.21	6.52	1.48	0	2.15	3.1	1.03	2.22	0	3.06	2.08
'ZBTB42'	102	160	246	195	391	191	266	389	168	273	362	326	144	261	95	113	113	86	126	129	292	390
'BTNL10'	2	2	8	1	1	0	8	9	0	9	1	7	6	1	1	2	3	2	5	3	4	3
'LOC100129098'	0	1	2	1	1	1	0	3	1	0	1	1	4	1	0	0	0	0	0	1	0	2
'KHDC1L'	1	0	0	0	3	1	0	0	0	1	1	0	1	1	1	0	5	0	0	0	1	3
'DEFB131B'	0.32	0	0	0	0	0	0.14	0	0.15	0	0	0.65	0	0	0	0	0	0.49	0	0.44	0	1.33
'CXorf51A'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'SMIM27'	37	17	36	18	20	16	57	20	21	45	37	31	39	15	37	39	21	24	30	42	30	41
'C1orf68'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
'TDRD15'	19	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	2	0	1	0	0
'LOC100129307'	0	0	0	0	2	1	0.99	0	1.24	0	1	0	1	0	0	0	0.45	1.45	0	0	0	2
'SMIM10L1'	314.56	306.34	288.37	362.47	352.13	340.3	324.63	199.57	435.46	434.32	393.77	385.4	379.21	322.3	278.74	334.93	271.72	253.49	340.2	285.43	348.37	345.72
'C9orf92'	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
'FAM106C'	0	0	0	4.6	0	0	0	3.52	0	0	0	1.01	0	1.4	1.12	3.36	0	0	0	1.81	1.33	1.24
'FAM236A'	0	0	3	1	2	0	0	0	2	3.53	0	0	0	0	0	1	0	0	0	0	3	0
'MKRN2OS'	50.97	120.04	163.95	105.74	57.56	84.41	134.15	128.76	148.66	57.85	125.7	114.89	90.71	65.09	53.83	53.13	75.72	58.55	179.49	40.83	103.72	102.78
'LOC100129484'	17	31	35.99	20	45	29.01	70.33	74.01	75	45	67	35	41.15	23.02	12.16	6	47.34	12	43	8	20	43.71
'ETDB'	0	0	2	1.27	2.42	3	0	3.64	1	3.8	9.22	12	5.4	0	1.06	0	0	0	4	5	3.09	3.67
'TEX13C'	3.76	2	3	2.66	2.73	1	3.85	2.72	0	5	1.01	2.9	6.69	5	3.79	3	4.87	0.77	3	3.19	0.7	2
'MUC8'	2	11	4	0	2	2	0	6	1	8	3	1	1	2	2	1	1	0	1	2	2	2
