sample,'SCGB3A1','CAPN13','SPDEF','TSPAN8','CCNO','PIGR','PGC','CEACAM6','RAP1GAP2','AQP4','CAPN8','PRR15L','SLC34A2','TMPRSS2'
1,7130,646,79,164,37,13650.11,468,1310.13,250,8834,1314,213,58125,2077
2,484,58,12,6,2,568.92,28,772.58,213,194,122,43,4375.86,187
3,74,31,12,6,0,131.42,9,654.81,231,274,109,33,2965.99,78
4,2426,181,42,45,16,2395.28,132,5733.79,329,932,353,129,8933.15,450
5,1028,119,61,15,29,2222.73,72,3097.88,220,471,694,315,19677.22,473
6,13,6,406,3,22,1445.13,1,51783.03,731,0,3492,202,33609.74,538
7,4023,1011,1417,422,97,10326.9,333,45897.91,487,145,1779,810,27682.77,460
8,137,414,101,79,26,1716.15,253,13512.31,279,1296,659,185,25472.14,542
9,3943,1700,365,331,90,5270.52,63,13289.64,421,737,861,439,49780.68,910
10,126,88,114,1052,36,4300.91,8,1753.7,420,158,1172,531,30833.34,688
11,2381,369,334,155,64,4559.49,2262,9659.54,268,4499,2435,431,49940.09,2364
12,505,1037,1926,258,758,1394,1113,24673.47,909,2005,1421,625,22287.28,1224
13,31830,533,269,61,66,11447.04,305,4180.25,190,782,3851,492,72995.43,1121
14,9798,768,2170,145,255,5163.21,95,78802.32,494,1496,1796,991,38275.28,2245
15,3974,3920,735,83,181,9244.79,62,8610.99,207,692,2778,678,38819.74,431
16,158001,1298,365,649,91,7593.32,389,34763.59,425,226,2634,547,18416.14,1364
17,198968,1749,504,403,74,52807.38,7741,12795.79,707,11324,4655,1417,177760.25,5970
18,16825,1008,543,725,260,16257.55,2752,27832.11,270,1731,5685,1644,105281.99,2275
19,113736,2790,377,230,42,18591.42,930,28478.94,402,563,1866,464,21973.76,2705
