id	logFC	AveExpr	t	P.Value	adj.P.Val	B
NACA2	2.05712558	3.983211789	9.280308726	8.12E-12	1.48E-07	15.54071026
FLJ44635	2.611445076	6.64572018	9.080831842	1.52E-11	1.48E-07	15.01542982
UQCRHL	2.126920451	3.888714914	7.926778387	6.13E-10	3.98E-06	11.85939202
PRRG3	1.924061655	8.868933643	7.798673445	9.31E-10	4.54E-06	11.49771971
ANKRD36	-1.18151365	8.11056536	-5.537950118	1.72E-06	0.004796006	4.885687285
H4C3	-1.915493157	2.516892475	-5.418978501	2.56E-06	0.005537193	4.534245211
HIGD2B	1.407321784	1.644127441	5.217810699	4.98E-06	0.008811688	3.941914841
NKAIN4	-1.953522807	2.846335893	-5.158674734	6.05E-06	0.009169244	3.768373267
CXCL9	-2.389475691	11.00434281	-5.155023325	6.12E-06	0.009169244	3.75766776
LOC107986113	-1.269612359	5.885478755	-4.928454946	1.29E-05	0.016035329	3.096013074
ANKRD22	-1.569124345	7.849021481	-4.910945252	1.36E-05	0.016035329	3.045118304
GBP5	-1.622404202	10.01090318	-4.814268648	1.86E-05	0.017294431	2.764821276
STEAP2	-1.083268265	9.436069919	-4.757135598	2.24E-05	0.017572189	2.599776166
CTLA4	-1.501370814	7.133354546	-4.696694736	2.73E-05	0.020436631	2.425701356
BATF	-1.531392678	7.125645915	-4.627788796	3.41E-05	0.021490441	2.227949305
GBP2	-1.076767553	10.66035411	-4.54012947	4.51E-05	0.025568583	1.977539019
ANKRD36C	-1.514025397	7.917585654	-4.503123965	5.08E-05	0.027304164	1.872242784
FAM184B	1.034837542	3.984216827	4.492680469	5.25E-05	0.027304164	1.842573047
FRMPD1	1.698499973	2.018573343	4.445512288	6.10E-05	0.027304164	1.708830995
PSMB9	-1.051493455	9.559090963	-4.434774349	6.31E-05	0.027304164	1.678445401
SERTM1	2.555697914	2.533129649	4.428533908	6.44E-05	0.027304164	1.660797165
MYBPC2	-1.932921607	4.322564909	-4.414371841	6.73E-05	0.027304164	1.620775393
CALHM6	-1.530179363	6.98593382	-4.411910692	6.79E-05	0.027304164	1.613824379
HAPLN3	-1.353275013	8.480865096	-4.330461474	8.78E-05	0.029082046	1.384501349
NKAIN2	2.671825192	2.496009127	4.324492403	8.95E-05	0.029082046	1.367751071
SUMO4	-1.162096491	2.997186507	-4.297936178	9.73E-05	0.029810102	1.293324885
MYO7A	-1.027735228	8.51804466	-4.294707393	9.83E-05	0.029810102	1.284286642
LAG3	-1.587770099	7.509370568	-4.285487169	0.000101165	0.029860521	1.258489659
PLAAT4	-1.357635392	9.942045265	-4.277691	0.000103675	0.029956152	1.23669201
